Source	Entry	Target	weight
AKT	20min	FLNC_S2233	 72
MEK1	10min	ERK1_Y204	 45
MEK1	2min	ERK2_Y187	 49
MEK1	2min	ERK2_T185	 42
CDK5	30min	TLN1_S425	 57
CDK5	60min	DPYSL3_T509	 29
ERK2	2min	STIM1_S575	 57
CDK1	20min	CALD1_T730	 87
ERK2	90min	TOP2A_S1247	 46
CKII	90min	TOP2A_S1106	 66
PKC	20min	ANXA2_S26	 64
CDK1	10min	KAT7_T88	 70
AKT	2min	TBC1D4_S588	 60
CKII	90min	MDC1_S402	 61
CKII	90min	MDC1_T404	 65
P70S6K	10min	NCBP1_S22	 64
PKA	90min	ADD1_S436	 56
PKA	2min	PTPN12_S435	 43
P70S6K	20min	RPS6_S236	 54
P70S6K	20min	RPS6_S240	 58
PKD1	2min	PKD1_S205	 88
PKD1	2min	PKD1_S208	 62
GNAQ_11	2min	PKC	100
EDNRB	2min	GNAQ_11	100
GNB	2min	PI3K	100
EDNRB	2min	GNB	100
GNC	2min	PI3K	100
EDNRB	2min	GNC	100
GNAQ_11	2min	PI3K	100
ARRB	2min	SRC	100
EDNRB	2min	ARRB	100
GNAS	2min	PKA	100
EDNRB	2min	GNAS	100
GNAI	2min	PKA	100
EDNRB	2min	GNAI	100
RAF1	2min	MP2K1_T386	 67
ARRB	2min	RAF1	100
SRC	2min	Y869	 59
PKA	30min	S218	 26
CKI-α	30min	S159	 45
CKII	2min	S39	 94
AKT	2min	T13	100
ARRB	2min	ASK1	100
ATM	2min	T106	 47
EGFR	2min	Y370	 87
PI3K	2min	PDK1	100
PDK1	10min	KS6B1_S434	 31
ERK2_T185	2min	ERK2	 43
MP2K1_T386	2min	MEK1	 67
Y869	2min	EGFR	 59
S218	30min	CKI-α	 26
S159	30min	CDK5	 56
S39	2min	CDK1	 96
T13	2min	CKII	100
T106	2min	DYRK2	 47
Y370	2min	ATM	 87
KS6B1_S434	10min	P70S6K	 31
CDK1	10min	HMGA1_T53	 68
CKII	2min	IGF2R_S2409	 56
AMPK	2min	GFPT1_S261	 62
ERK2	20min	SLC9A1_S785	 66
ERK2	2min	TPR_S2155	 66
ERK2	10min	TPR_T2116	 65
ERK2	10min	TPR_T2137	 56
PKC	20min	LMNA_S403	 60
DYRK2	2min	CARHSP1_S30	 23
PAK1	20min	MORC2_S739	 59
PKC	2min	CTNND1_S879	 65
P70S6K	20min	NCBP1_T21	 65
AKT	2min	PEA15_S116	 70
CAMKK2	2min	T183	 51
GNAQ_11	2min	CAMKK2	 96
PDK1	20min	T423	 60
T183	2min	AMPK	 51
T423	20min	PAK1	 60
P38	2min	PKD1_S397	 65
P38	2min	PKD1_S401	 71
ERK2	30min	CTTN_S405	 64
