Source	Entry	Target	weight
AKT	20min	FLNC_S2233	 72
CDK2	60min	LMNA_S22	  5
MEK1	10min	ERK1_Y204	 45
MEK1	2min	ERK2_Y187	 49
MEK1	2min	ERK2_T185	 42
CDK5	30min	TLN1_S425	 57
CDK5	60min	DPYSL3_T509	 29
ERK2	2min	STIM1_S575	 57
CDK1	20min	CALD1_T730	 87
ERK2	90min	TOP2A_S1247	 46
CKII	90min	TOP2A_S1106	 66
PKC	20min	ANXA2_S26	 64
CDK1	10min	KAT7_T88	 70
AKT	2min	TBC1D4_S588	 60
CKII	90min	MDC1_S402	 61
CKII	90min	MDC1_T404	 65
P70S6K	10min	NCBP1_S22	 64
PKA	90min	ADD1_S436	 56
AKT	60min	GSK3-β_S9	 17
PKA	2min	PTPN12_S435	 43
P70S6K	20min	RPS6_S236	 54
P70S6K	20min	RPS6_S240	 58
PKD1	2min	PKD1_S205	 88
PKD1	2min	PKD1_S208	 62
GNAQ_11	2min	PKC	100
EDNRB	2min	GNAQ_11	100
GNB	2min	PI3K	100
EDNRB	2min	GNB	100
GNC	2min	PI3K	100
EDNRB	2min	GNC	100
GNAQ_11	2min	PI3K	100
ARRB	2min	SRC	100
EDNRB	2min	ARRB	100
AKT	2min	T39	  9
GNAS	2min	PKA	100
EDNRB	2min	GNAS	100
GNAI	2min	PKA	100
EDNRB	2min	GNAI	100
RAF1	2min	MP2K1_T386	 67
ARRB	2min	RAF1	100
SRC	2min	Y869	 59
PKA	30min	S218	 26
CKI-α	30min	S159	 45
CKII	2min	S39	 94
AKT	2min	T13	100
ARRB	2min	ASK1	100
MKK4	2min	p38_T180	  9
ASK1	2min	MP2K4_S257	 17
ATM	2min	T106	 47
EGFR	2min	Y370	 87
PI3K	2min	PDK1	100
PDK1	10min	KS6B1_S434	 31
ERK2_T185	2min	ERK2	 43
T39	2min	CDK2	  9
MP2K1_T386	2min	MEK1	 67
Y869	2min	EGFR	 59
S218	30min	CKI-α	 26
S159	30min	CDK5	 56
S39	2min	CDK1	 96
T13	2min	CKII	100
p38_T180	2min	P38	  9
MP2K4_S257	2min	MKK4	 17
T106	2min	DYRK2	 47
Y370	2min	ATM	 87
KS6B1_S434	10min	P70S6K	 31
CDK1	10min	HMGA1_T53	 68
